student_code,student_name,KOR_01,MATH_01,ENG_02
26010101,김김김,62,45,88
26010102,김철수A,23,67,41
26010103,김철수B,78,34,55
26010104,나영석,45,89,33
26010105,도라지,91,23,77
26010106,라디에이터,55,61,44
26010107,마영석,38,77,62
26010108,박철수,71,28,93
26010109,박형석,84,55,37
26010110,서용탁,49,73,81
26010111,이이이,66,41,59
26010112,이준,33,88,74
26010113,이형석,77,19,48
26010114,조갑식,88,64,22
26010115,조영철,54,37,95
26010116,차차차,41,92,63
26010117,차르코프스키,95,51,87
26010118,피순대,28,76,39
26010119,한소희,73,43,71
26010120,한서희,61,85,56
26010121,황정선,82,29,44
