student_code,student_name,KOR_01,MATH_01,ENG_02
26020201,Ethan,72,53,87
26020202,Olivia,44,81,31
26020203,Mason,88,27,65
26020204,Charlotte,33,74,52
26020205,Liam,61,49,91
26020206,Sophia,79,92,24
26020207,Noah,47,36,78
26020208,Amelia,93,61,43
26020209,James,28,87,67
26020210,Isabella,65,43,82
26020211,Lucas,51,75,39
26020212,Mia,84,18,94
26020213,Benjamin,37,93,55
26020214,Harper,72,57,28
26020215,Alexander,58,34,83
26020216,Evelyn,41,79,47
26020217,Daniel,87,22,71
26020218,Abigail,24,66,59
26020219,Henry,76,88,36
26020220,Scarlett,62,41,97
26020221,Jack,49,73,62
